corpus,N_min,n_buckets,n_excluded,n_texts,eta2,ci_lo,ci_hi,pass_t1
nltk_multi,20,3,3,135,0.6155,0.5307,0.7018,True
nltk_multi,30,3,3,135,0.6155,0.5307,0.7018,True
nltk_multi,50,1,5,57,,,,
spgc,20,12,0,2767,0.3652,0.3388,0.3966,True
spgc,30,12,0,2767,0.3652,0.3388,0.3966,True
spgc,50,12,0,2767,0.3652,0.3388,0.3966,True
brown,20,11,4,451,0.5939,0.5511,0.6484,True
brown,30,6,9,313,0.2023,0.1416,0.2926,True
brown,50,2,13,155,0.151,0.0636,0.2545,True
oanc,20,6,2,4375,0.8467,0.8404,0.8529,True
oanc,30,6,2,4375,0.8467,0.8404,0.8529,True
oanc,50,5,3,4332,0.8464,0.8401,0.8522,True
