id,register,source,fileid
gutenberg_austen-emma_txt,literary_fiction,gutenberg,austen-emma.txt
gutenberg_austen-persuasion_txt,literary_fiction,gutenberg,austen-persuasion.txt
gutenberg_austen-sense_txt,literary_fiction,gutenberg,austen-sense.txt
gutenberg_bible-kjv_txt,literary_fiction,gutenberg,bible-kjv.txt
gutenberg_blake-poems_txt,literary_fiction,gutenberg,blake-poems.txt
gutenberg_bryant-stories_txt,literary_fiction,gutenberg,bryant-stories.txt
gutenberg_burgess-busterbrown_txt,literary_fiction,gutenberg,burgess-busterbrown.txt
gutenberg_carroll-alice_txt,literary_fiction,gutenberg,carroll-alice.txt
gutenberg_chesterton-ball_txt,literary_fiction,gutenberg,chesterton-ball.txt
gutenberg_chesterton-brown_txt,literary_fiction,gutenberg,chesterton-brown.txt
gutenberg_chesterton-thursday_txt,literary_fiction,gutenberg,chesterton-thursday.txt
gutenberg_edgeworth-parents_txt,literary_fiction,gutenberg,edgeworth-parents.txt
gutenberg_melville-moby_dick_txt,literary_fiction,gutenberg,melville-moby_dick.txt
gutenberg_milton-paradise_txt,literary_fiction,gutenberg,milton-paradise.txt
gutenberg_shakespeare-caesar_txt,literary_fiction,gutenberg,shakespeare-caesar.txt
gutenberg_shakespeare-hamlet_txt,literary_fiction,gutenberg,shakespeare-hamlet.txt
gutenberg_shakespeare-macbeth_txt,literary_fiction,gutenberg,shakespeare-macbeth.txt
gutenberg_whitman-leaves_txt,literary_fiction,gutenberg,whitman-leaves.txt
shakespeare_a_and_c_xml,drama,shakespeare,a_and_c.xml
shakespeare_dream_xml,drama,shakespeare,dream.xml
shakespeare_hamlet_xml,drama,shakespeare,hamlet.xml
shakespeare_j_caesar_xml,drama,shakespeare,j_caesar.xml
shakespeare_macbeth_xml,drama,shakespeare,macbeth.xml
shakespeare_merchant_xml,drama,shakespeare,merchant.xml
shakespeare_othello_xml,drama,shakespeare,othello.xml
shakespeare_r_and_j_xml,drama,shakespeare,r_and_j.xml
inaugural_1793-Washington_txt,oratorical,inaugural,1793-Washington.txt
inaugural_1933-Roosevelt_txt,oratorical,inaugural,1933-Roosevelt.txt
inaugural_1849-Taylor_txt,oratorical,inaugural,1849-Taylor.txt
state_union_1988-Reagan_txt,oratorical,state_union,1988-Reagan.txt
inaugural_1841-Harrison_txt,oratorical,inaugural,1841-Harrison.txt
inaugural_1945-Roosevelt_txt,oratorical,inaugural,1945-Roosevelt.txt
state_union_1990-Bush_txt,oratorical,state_union,1990-Bush.txt
state_union_2001-GWBush-2_txt,oratorical,state_union,2001-GWBush-2.txt
state_union_1981-Reagan_txt,oratorical,state_union,1981-Reagan.txt
inaugural_1865-Lincoln_txt,oratorical,inaugural,1865-Lincoln.txt
state_union_1977-Ford_txt,oratorical,state_union,1977-Ford.txt
inaugural_1957-Eisenhower_txt,oratorical,inaugural,1957-Eisenhower.txt
inaugural_1889-Harrison_txt,oratorical,inaugural,1889-Harrison.txt
inaugural_1797-Adams_txt,oratorical,inaugural,1797-Adams.txt
state_union_1951-Truman_txt,oratorical,state_union,1951-Truman.txt
inaugural_1833-Jackson_txt,oratorical,inaugural,1833-Jackson.txt
state_union_1980-Carter_txt,oratorical,state_union,1980-Carter.txt
inaugural_1813-Madison_txt,oratorical,inaugural,1813-Madison.txt
inaugural_1877-Hayes_txt,oratorical,inaugural,1877-Hayes.txt
inaugural_2001-Bush_txt,oratorical,inaugural,2001-Bush.txt
state_union_2003-GWBush_txt,oratorical,state_union,2003-GWBush.txt
inaugural_2013-Obama_txt,oratorical,inaugural,2013-Obama.txt
inaugural_1965-Johnson_txt,oratorical,inaugural,1965-Johnson.txt
inaugural_1909-Taft_txt,oratorical,inaugural,1909-Taft.txt
inaugural_1997-Clinton_txt,oratorical,inaugural,1997-Clinton.txt
state_union_1998-Clinton_txt,oratorical,state_union,1998-Clinton.txt
state_union_1993-Clinton_txt,oratorical,state_union,1993-Clinton.txt
inaugural_1881-Garfield_txt,oratorical,inaugural,1881-Garfield.txt
inaugural_1985-Reagan_txt,oratorical,inaugural,1985-Reagan.txt
state_union_1953-Eisenhower_txt,oratorical,state_union,1953-Eisenhower.txt
state_union_1991-Bush-2_txt,oratorical,state_union,1991-Bush-2.txt
inaugural_2017-Trump_txt,oratorical,inaugural,2017-Trump.txt
state_union_1973-Nixon_txt,oratorical,state_union,1973-Nixon.txt
inaugural_1937-Roosevelt_txt,oratorical,inaugural,1937-Roosevelt.txt
state_union_1989-Bush_txt,oratorical,state_union,1989-Bush.txt
state_union_1972-Nixon_txt,oratorical,state_union,1972-Nixon.txt
state_union_1964-Johnson_txt,oratorical,state_union,1964-Johnson.txt
state_union_1983-Reagan_txt,oratorical,state_union,1983-Reagan.txt
inaugural_1789-Washington_txt,oratorical,inaugural,1789-Washington.txt
state_union_2000-Clinton_txt,oratorical,state_union,2000-Clinton.txt
inaugural_1853-Pierce_txt,oratorical,inaugural,1853-Pierce.txt
state_union_1965-Johnson-1_txt,oratorical,state_union,1965-Johnson-1.txt
state_union_1984-Reagan_txt,oratorical,state_union,1984-Reagan.txt
state_union_1946-Truman_txt,oratorical,state_union,1946-Truman.txt
state_union_1995-Clinton_txt,oratorical,state_union,1995-Clinton.txt
inaugural_1885-Cleveland_txt,oratorical,inaugural,1885-Cleveland.txt
state_union_1979-Carter_txt,oratorical,state_union,1979-Carter.txt
