text_id,n_words,n_vowels,schwa_v1_AH0,oov_g2p_filled,oov_still_missing,oov_fill_rate,register
spoken_face-to-face_charlotte_AdamsElissa,1220,1521,0.12689020381328073,0,0,0.0,spoken_conv
spoken_face-to-face_charlotte_AdinolfiDavidandGail,2554,3154,0.1636017755231452,2,8,0.2,spoken_conv
spoken_face-to-face_charlotte_ArguetaBertila-ENG,3979,4546,0.14584249890013198,9,12,0.42857142857142855,spoken_conv
spoken_face-to-face_charlotte_AverittShannon,2453,2876,0.12343532684283727,3,1,0.75,spoken_conv
spoken_face-to-face_charlotte_BlanchardTracy,1217,1486,0.14468371467025573,4,0,1.0,spoken_conv
spoken_face-to-face_charlotte_BorelRaymondHydeII,5967,6998,0.15347242069162617,60,15,0.8,spoken_conv
spoken_face-to-face_charlotte_BorelRaymondHydeIII,1276,1503,0.11842980705256155,7,0,1.0,spoken_conv
spoken_face-to-face_charlotte_CaseCullen,1332,1692,0.16725768321513002,1,8,0.1111111111111111,spoken_conv
spoken_face-to-face_charlotte_CerdaAdam,2376,3005,0.1886855241264559,6,8,0.42857142857142855,spoken_conv
spoken_face-to-face_charlotte_ChapmanDebbie,10280,12141,0.13615023474178403,25,17,0.5952380952380952,spoken_conv
spoken_face-to-face_charlotte_CheezemBurt,2207,2876,0.16794158553546593,11,3,0.7857142857142857,spoken_conv
spoken_face-to-face_charlotte_CombsJane,1335,1625,0.13476923076923078,1,0,1.0,spoken_conv
spoken_face-to-face_charlotte_CottonGloria,1787,2239,0.18267083519428315,2,1,0.6666666666666666,spoken_conv
spoken_face-to-face_charlotte_CoxJeremy,2131,2391,0.16269343370974487,0,4,0.0,spoken_conv
spoken_face-to-face_charlotte_DeLuciaBrian,1903,2351,0.15270097830710336,1,1,0.5,spoken_conv
spoken_face-to-face_charlotte_EmrichDavid,1665,2077,0.15214251324025035,3,2,0.6,spoken_conv
spoken_face-to-face_charlotte_FarrowThomas,2291,2774,0.15465032444124008,3,0,1.0,spoken_conv
spoken_face-to-face_charlotte_FeberAngelina,2362,2810,0.1320284697508897,1,1,0.5,spoken_conv
spoken_face-to-face_charlotte_FlonoFannie,2782,3241,0.1527306386917618,1,3,0.25,spoken_conv
spoken_face-to-face_charlotte_FrancisClem,4310,5321,0.18680699116707386,20,13,0.6060606060606061,spoken_conv
spoken_face-to-face_charlotte_FunkBernie,2098,2421,0.1681123502684841,4,3,0.5714285714285714,spoken_conv
spoken_face-to-face_charlotte_GavinJeff,2258,2666,0.1264066016504126,1,1,0.5,spoken_conv
