register,n,schwa_mean,schwa_sd,fk_mean,cond_H_mean,syll_mean
drama,235,0.181,0.0298,8.172,3.2842,1.3527
children,239,0.1949,0.0232,7.8907,3.2695,1.3289
fiction,242,0.1996,0.0205,8.3747,3.244,1.3699
poetry,230,0.2015,0.0251,7.769,3.2576,1.3186
letters,152,0.2149,0.0294,9.2727,3.1854,1.446
science,233,0.22,0.0328,9.1719,3.1759,1.4375
essays,238,0.227,0.0197,9.318,3.1517,1.4498
biography,244,0.229,0.0263,9.3504,3.1575,1.4526
religion,237,0.2357,0.0315,9.2214,3.1089,1.4416
history,239,0.2403,0.0317,9.5616,3.127,1.4705
travel,242,0.2405,0.0211,9.3137,3.1379,1.4495
philosophy,236,0.2454,0.0265,10.3892,3.0565,1.5406
